employee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled,application_date,last_contact_date,last_contact_channel,plan_tier_requested,broker_channel,prior_year_enrolled,legacy_propensity_score,n_employees_region,hist_enrollment_rate_region,avg_salary_region,avg_premium_cost_usd,benefits_broker_rating,hr_outreach_capacity,open_enrollment_window_days,state_mandate_level
12324,28,Male,Divorced,44047.6,Full-time,West,No,1.4,0,2024-04-14,2024-03-30,SMS,Basic,Employer-Sponsored,No,0.104,2582,0.613,65007.07,574,4.7,437,28,Low
17825,23,Male,Married,80111.28,Full-time,Midwest,Yes,0.5,1,2024-05-09,2024-04-18,Phone,Standard,Direct,New Hire,0.874,2488,0.617,64921.46,595,4.4,469,18,High
15200,39,Male,Married,69855.65,Full-time,South,Yes,3.4,1,2024-06-22,2024-06-09,None,Silver,Direct,No,0.87,2424,0.628,65200.49,481,3.3,324,17,Medium
16690,31,Female,Married,91567.33,Full-time,South,No,1.2,1,2024-08-16,2024-07-29,Email,Premium,Employer-Sponsored,Yes,0.894,2424,0.628,65200.49,481,3.3,324,17,Medium
17465,42,Female,Single,59861.68,Contract,Midwest,Yes,23.8,0,2024-05-13,2024-05-06,Email,Standard,Employer-Sponsored,New Hire,0.163,2488,0.617,64921.46,595,4.4,469,18,High
17727,52,Female,Married,51330.25,Contract,Northeast,No,0.8,0,2024-01-14,2024-01-12,Email,Basic,Direct,New Hire,0.352,2506,0.612,65008.32,455,3.1,151,38,Low
13582,59,Female,Widowed,74884.52,Full-time,Northeast,No,0.7,1,2024-07-23,2024-07-13,SMS,Silver,Third-Party,New Hire,0.849,2506,0.612,65008.32,455,3.1,151,38,Low
17068,61,Male,Single,73525.85,Full-time,Midwest,Yes,1.4,1,2024-08-20,2024-08-01,Email,Silver,Third-Party,New Hire,0.84,2488,0.617,64921.46,595,4.4,469,18,High
16183,38,Male,Single,70490.72,Full-time,West,No,2.3,1,,2024-05-16,Phone,Standard,Employer-Sponsored,New Hire,,2582,0.613,65007.07,574,4.7,437,28,Low
16268,39,Female,Single,50620.37,Full-time,West,Yes,5.6,1,2024-06-18,2024-05-26,Email,Basic,Direct,Yes,0.847,2582,0.613,65007.07,574,4.7,437,28,Low
13259,22,Female,Married,70876.89,Full-time,Midwest,No,0.1,0,2024-03-03,2024-02-22,Phone,Silver,Direct,New Hire,0.03,2488,0.617,64921.46,595,4.4,469,18,High
16594,45,Female,Divorced,47964.46,Part-time,Northeast,No,0.6,0,2024-06-29,2024-06-23,SMS,Basic,Direct,New Hire,,2506,0.612,65008.32,455,3.1,151,38,Low
10053,57,Female,Divorced,62489.07,Part-time,West,No,5.0,0,2024-02-26,2024-02-06,Email,Silver,Employer-Sponsored,Yes,,2582,0.613,65007.07,574,4.7,437,28,Low
16645,30,Male,Married,51295.91,Contract,South,Yes,4.9,0,2024-07-25,2024-07-09,Email,Basic,Third-Party,No,0.169,2424,0.628,65200.49,481,3.3,324,17,Medium
17214,59,Female,Married,54218.5,Full-time,South,No,3.4,0,2024-07-24,2024-07-22,Phone,Basic,Direct,Yes,0.182,2424,0.628,65200.49,481,3.3,324,17,Medium
11443,63,Female,Married,44205.14,Full-time,West,Yes,1.4,1,2024-03-03,2024-02-18,Phone,Unknown,Third-Party,No,0.725,2582,0.613,65007.07,574,4.7,437,28,Low
14119,30,Male,Married,60665.82,Part-time,Northeast,Yes,0.0,0,2024-04-08,2024-04-03,Email,Silver,Direct,New Hire,0.17,2506,0.612,65008.32,455,3.1,151,38,Low
15060,38,Male,Married,70007.31,Full-time,Midwest,Yes,2.8,1,2024-03-11,2024-02-14,None,Silver,Third-Party,Yes,0.918,2488,0.617,64921.46,595,4.4,469,18,High
19320,33,Male,Single,88847.41,Full-time,Northeast,Yes,7.9,1,2024-02-15,2024-01-24,Email,Premium,Direct,No,0.857,2506,0.612,65008.32,455,3.1,151,38,Low
17481,28,Female,Single,72116.53,Part-time,South,Yes,5.6,0,,2024-10-21,Email,Silver,Direct,No,0.072,2424,0.628,65200.49,481,3.3,324,17,Medium
18558,27,Female,Married,54033.74,Contract,Northeast,Yes,11.4,0,2024-08-07,2024-07-17,SMS,Basic,Direct,No,,2506,0.612,65008.32,455,3.1,151,38,Low
10681,52,Male,Married,87143.25,Part-time,Midwest,Yes,1.3,1,2024-07-02,2024-06-18,Phone,Gold,Direct,Yes,0.98,2488,0.617,64921.46,595,4.4,469,18,High
