qemployee_id,age,gender,marital_status,salary,employment_type,region,has_dependents,tenure_years,enrolled,application_date,last_contact_date,last_contact_channel,plan_tier_requested,broker_channel,prior_year_enrolled,legacy_propensity_score,outreach_notes
12324,28,Male,Divorced,44047.6,Full-time,West,No,1.4,0,2024-04-14,2024-03-30,SMS,basic,Employer-Sponsored,0,0.104,Spouse covered elsewhere
17825,23,Male,Married,80111.28,Full-time,Midwest,Yes,0.5,1,2024-05-09,2024-04-18,Call,STANDARD,Direct,-1,0.874,Requested more time
15200,39,Male,Married,69855.65,Full-time,South,Yes,3.4,1,22/06/2024,2024-06-09,none,Silver,Direct,0,0.87,No response to first outreach
16690,31,Female,Married,91567.33,Full-time,South,No,1.2,1,2024-08-16,2024-07-29,email,premium plan,Employer-Sponsored,1,0.894,Requested more time
17465,42,Female,Single,59861.68,Contract,Midwest,Yes,23.8,0,13/05/2024,2024-05-06,email,Standard,Employer-Sponsored,-1,0.163,Requested more time
17727,52,Female,Married,51330.25,Contract,Northeast,No,0.8,0,14/01/2024,2024-01-12,EMAIL,Basic,Direct,-1,0.352,Attended benefits webinar
13582,59,Female,Widowed,74884.52,Full-time,Northeast,No,0.7,1,2024-07-23,2024-07-13,SMS,silver plan,Third-Party,-1,0.849,Attended benefits webinar
17068,61,Male,Single,73525.85,Full-time,Midwest,Yes,1.4,1,20-Aug-2024,2024-08-01,EMAIL,silver plan,Third-Party,-1,0.84,Requested more time
16183,38,Male,Single,70490.72,Full-time,West,No,2.3,1,,2024-05-16,Call,standard,Employer-Sponsored,-1,,Follow-up scheduled
16268,39,Female,Single,50620.37,Full-time,West,Yes,5.6,1,2024-06-18,2024-05-26,e-mail,BASIC,Direct,1,0.847,No response to first outreach
13259,22,Female,Married,70876.89,Full-time,Midwest,No,0.1,0,03/03/2024,2024-02-22,Phone,Silver,Direct,-1,0.03,Attended benefits webinar
16594,45,Female,Divorced,47964.46,Part-time,Northeast,No,0.6,0,29/06/2024,2024-06-23,sms,basic,Direct,-1,,Declined - cost concern
10053,57,Female,Divorced,62489.07,Part-time,West,No,5.0,0,2024-02-26,2024-02-06,email,silver plan,Employer-Sponsored,1,,Spouse covered elsewhere
16645,30,Male,Married,51295.91,Contract,South,Yes,4.9,0,25/07/2024,2024-07-09,email,BASIC,Third-Party,0,0.169,Spouse covered elsewhere
17214,59,Female,Married,54218.5,Full-time,South,No,3.4,0,2024-07-24,2024-07-22,phone,Basic,Direct,1,0.182,
