employee_id,predicted_probability,predicted_enrollment,risk_category,recommended_action
12324,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17825,0.97,1,Low Risk,Standard enrollment notification
15200,0.98,1,Low Risk,Standard enrollment notification
16690,0.92,1,Low Risk,Standard enrollment notification
17465,0.31,0,Medium Risk,Reminder email with enrollment benefits
17727,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13582,0.99,1,Low Risk,Standard enrollment notification
17068,0.99,1,Low Risk,Standard enrollment notification
16183,0.97,1,Low Risk,Standard enrollment notification
16268,0.99,1,Low Risk,Standard enrollment notification
13259,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
16594,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10053,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16645,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17214,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11443,0.88,1,Low Risk,Standard enrollment notification
14119,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
15060,1.0,1,Low Risk,Standard enrollment notification
19320,0.98,1,Low Risk,Standard enrollment notification
17481,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
18558,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10681,0.99,1,Low Risk,Standard enrollment notification
15895,0.96,1,Low Risk,Standard enrollment notification
18695,1.0,1,Low Risk,Standard enrollment notification
11798,1.0,1,Low Risk,Standard enrollment notification
10762,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16591,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11313,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
19134,1.0,1,Low Risk,Standard enrollment notification
12737,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
12763,0.96,1,Low Risk,Standard enrollment notification
14248,1.0,1,Low Risk,Standard enrollment notification
10066,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
13874,0.98,1,Low Risk,Standard enrollment notification
13878,0.98,1,Low Risk,Standard enrollment notification
14144,1.0,1,Low Risk,Standard enrollment notification
12171,0.86,1,Low Risk,Standard enrollment notification
16079,0.98,1,Low Risk,Standard enrollment notification
13661,0.99,1,Low Risk,Standard enrollment notification
13004,1.0,1,Low Risk,Standard enrollment notification
17495,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16934,1.0,1,Low Risk,Standard enrollment notification
10602,0.93,1,Low Risk,Standard enrollment notification
14706,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11498,1.0,1,Low Risk,Standard enrollment notification
11588,0.98,1,Low Risk,Standard enrollment notification
18723,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
10949,1.0,1,Low Risk,Standard enrollment notification
11986,0.16,0,High Risk,Personalized phone call with HR and benefits explanation
18135,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10724,1.0,1,Low Risk,Standard enrollment notification
12676,0.99,1,Low Risk,Standard enrollment notification
12653,0.95,1,Low Risk,Standard enrollment notification
18945,0.85,1,Low Risk,Standard enrollment notification
17867,0.24,0,High Risk,Personalized phone call with HR and benefits explanation
17103,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12247,1.0,1,Low Risk,Standard enrollment notification
16531,1.0,1,Low Risk,Standard enrollment notification
15297,1.0,1,Low Risk,Standard enrollment notification
18661,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16205,0.95,1,Low Risk,Standard enrollment notification
17646,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
18556,1.0,1,Low Risk,Standard enrollment notification
